id;street;zip;city
1;Le gall de Richelieu;c Versatile hack;Besançon
2;Ismérie de la Paix;index experiences bypassing;New Wandrille
3;Joseph Molière;b Cambridgeshire end-to-end;Réginetown
4;Guenièvre de Montmorency;Account;Garnierville
5;Gerbert Adolphe Mille;Developpeur;South Capucineview
6;Hédelin de Caumartin;indexing invoice;South Loïcmouth
7;Le roux de Presbourg;policy;Ismérieville
8;Henry Saint-Jacques;Tanzanie;South Guérin
9;Oger du Chat-qui-Pêche;driver Home Guilder;Dupuyside
10;Laurence du Havre;Soap Account;North Hédelin
